"Date","Price","Open","High","Low","Change %"
"Dec 25, 2017","79.54","79.56","79.69","78.90","-0.01%"
"Dec 22, 2017","79.55","79.54","79.65","79.38","0.03%"
"Dec 21, 2017","79.53","79.50","79.67","79.25","0.01%"
"Dec 20, 2017","79.52","78.72","79.54","78.53","1.00%"
"Dec 19, 2017","78.73","78.72","79.06","78.63","0.01%"
"Dec 18, 2017","78.72","78.72","79.22","78.69","0.03%"
"Dec 15, 2017","78.70","78.47","79.00","78.37","0.28%"
"Dec 14, 2017","78.48","79.03","79.22","78.40","-0.71%"
"Dec 13, 2017","79.04","78.74","79.21","78.62","0.39%"
"Dec 12, 2017","78.73","78.48","78.92","78.36","0.29%"
"Dec 11, 2017","78.50","77.77","78.61","77.56","1.12%"
"Dec 08, 2017","77.63","77.25","77.83","77.19","0.49%"
"Dec 07, 2017","77.25","77.29","77.44","76.93","-0.06%"
"Dec 06, 2017","77.30","77.42","77.58","77.11","-0.15%"
"Dec 05, 2017","77.42","77.08","77.76","77.08","0.43%"
"Dec 04, 2017","77.09","77.19","77.62","77.00","-0.14%"
"Dec 01, 2017","77.20","76.86","77.46","76.71","0.40%"
"Nov 30, 2017","76.89","77.02","77.19","76.59","-0.17%"
"Nov 29, 2017","77.02","76.92","77.26","76.76","0.13%"
"Nov 28, 2017","76.92","76.80","77.38","76.75","0.18%"
"Nov 27, 2017","76.78","76.75","76.94","76.33","0.04%"
"Nov 24, 2017","76.75","76.64","76.86","76.50","0.14%"
"Nov 23, 2017","76.64","76.56","76.83","76.30","0.12%"
"Nov 22, 2017","76.55","76.80","76.97","76.43","-0.33%"
"Nov 21, 2017","76.80","76.69","76.92","76.37","0.14%"
"Nov 20, 2017","76.69","76.42","76.77","76.08","0.37%"
"Nov 17, 2017","76.41","77.45","77.52","76.20","-1.36%"
"Nov 16, 2017","77.46","77.63","77.65","77.30","-0.21%"
"Nov 15, 2017","77.62","78.02","78.12","77.53","-0.50%"
