"Date","Price","Open","High","Low","Change %"
"Feb 05, 2015","127.59","126.56","127.69","126.04","0.76%"
"Feb 04, 2015","126.63","127.12","127.74","126.26","-0.42%"
"Feb 03, 2015","127.17","126.63","127.72","125.83","0.41%"
"Feb 02, 2015","126.65","127.44","127.57","125.69","-0.68%"
"Jan 30, 2015","127.52","127.96","128.44","126.51","-0.41%"
"Jan 29, 2015","128.05","129.75","130.02","127.50","-1.38%"
"Jan 28, 2015","129.84","130.44","131.23","129.25","-0.54%"
"Jan 27, 2015","130.55","131.13","132.21","128.83","-0.50%"
"Jan 26, 2015","131.20","133.62","134.82","130.88","-1.88%"
"Jan 23, 2015","133.72","135.87","136.87","133.53","-1.67%"
"Jan 22, 2015","135.99","137.03","138.08","134.97","-0.84%"
"Jan 21, 2015","137.14","135.62","138.36","134.05","1.09%"
"Jan 20, 2015","135.66","133.56","136.46","133.51","1.50%"
"Jan 19, 2015","133.66","137.09","137.24","133.47","-2.57%"
"Jan 16, 2015","137.19","135.31","138.99","132.32","1.36%"
"Jan 15, 2015","135.35","115.11","157.48","114.65","17.50%"
"Jan 14, 2015","115.19","115.58","115.68","114.01","-0.35%"
"Jan 13, 2015","115.60","116.58","117.01","115.11","-0.87%"
"Jan 12, 2015","116.62","116.82","117.35","116.33","-0.21%"
"Jan 09, 2015","116.87","117.48","117.75","116.68","-0.53%"
"Jan 08, 2015","117.49","117.55","117.99","117.12","-0.07%"
"Jan 07, 2015","117.57","117.18","117.97","116.75","0.30%"
"Jan 06, 2015","117.22","118.76","118.83","117.12","-1.33%"
"Jan 05, 2015","118.80","120.28","120.41","118.42","-1.29%"
"Jan 02, 2015","120.35","120.49","120.92","119.90","-0.14%"
"Jan 01, 2015","120.52","120.34","120.65","120.21","0.12%"
"Dec 31, 2014","120.38","120.76","121.06","120.29","-0.36%"
"Dec 30, 2014","120.81","121.88","122.03","120.32","-0.91%"
"Dec 29, 2014","121.92","121.83","122.41","121.73","0.02%"
"Dec 26, 2014","121.89","121.97","122.36","121.72","-0.09%"
"Dec 25, 2014","122.00","122.19","122.62","121.84","-0.18%"
"Dec 24, 2014","122.22","122.13","122.41","121.72","0.06%"
"Dec 23, 2014","122.15","121.35","122.38","121.20","0.08%"
"Dec 22, 2014","122.05","121.46","122.26","121.20","0.45%"
"Dec 19, 2014","121.50","121.22","121.89","121.16","0.19%"
"Dec 18, 2014","121.27","121.88","122.21","120.58","-0.55%"
